NDVI,NDRE,Label
0.24921136,0.16883117,1
0.26023778,0.15078408,1
0.23614776,0.16542289,1
0.24157706,0.12687053,1
0.27014217,0.17030568,1
0.25718495,0.1601496,1
0.27033308,0.16353317,1
0.2693845,0.14781351,1
0.26566705,0.14584059,1
0.24180016,0.14045534,1
0.24580152,0.14486144,1
0.25403818,0.16706525,1
0.25829726,0.12807244,1
0.208413,0.16892725,1
0.17111996,0.14254022,1
0.19302195,0.15657392,1
0.179,0.06914532,1
0.11644658,0.1521784,1
0.12202272,0.115076475,1
0.15811431,0.06646177,1
0.17125878,0.05601559,1
0.17809798,0.026619788,1
0.21798876,0.14168619,1
0.19419925,0.12738095,1
0.2236231,0.1525,1
0.19767442,0.09720373,1
0.18968935,0.11420613,1
0.19714116,0.16826504,1
0.19612315,0.12553649,1
0.18960752,0.13802221,1
